 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Município
Período:2010
"Município";"PIB_per_capita"
"110001 ALTA FLORESTA D'OESTE";10725,97
"110002 ARIQUEMES";15070,14
"110003 CABIXI";10968,00
"110004 CACOAL";15068,72
"110005 CEREJEIRAS";13024,11
"110006 COLORADO DO OESTE";10340,54
"110007 CORUMBIARA";13041,36
"110008 COSTA MARQUES";7873,85
"110009 ESPIGAO D'OESTE";10835,74
"110010 GUAJARA-MIRIM";14355,17
"110011 JARU";15300,42
"110012 JI-PARANA";15895,39
"110013 MACHADINHO D'OESTE";8733,83
"110014 NOVA BRASILANDIA D'OESTE";8742,24
"110015 OURO PRETO DO OESTE";12586,30
"110018 PIMENTA BUENO";16002,07
"110020 PORTO VELHO";21231,04
"110025 PRESIDENTE MEDICI";10547,20
"110026 RIO CRESPO";12980,26
"110028 ROLIM DE MOURA";12385,36
"110029 SANTA LUZIA D'OESTE";11101,67
"110030 VILHENA";18968,71
"110032 SAO MIGUEL DO GUAPORE";14869,71
"110033 NOVA MAMORE";9672,18
"110034 ALVORADA D'OESTE";9517,48
"110037 ALTO ALEGRE DOS PARECIS";9348,46
"110040 ALTO PARAISO";8871,40
"110045 BURITIS";10365,69
"110050 NOVO HORIZONTE DO OESTE";9340,79
"110060 CACAULANDIA";13410,23
"110070 CAMPO NOVO DE RONDONIA";9302,16
"110080 CANDEIAS DO JAMARI";14193,49
"110090 CASTANHEIRAS";11147,66
"110092 CHUPINGUAIA";19936,42
"110094 CUJUBIM";13231,83
"110100 GOVERNADOR JORGE TEIXEIRA";10554,12
"110110 ITAPUA DO OESTE";10535,93
"110120 MINISTRO ANDREAZZA";9636,31
"110130 MIRANTE DA SERRA";9688,90
"110140 MONTE NEGRO";10530,47
"110143 NOVA UNIAO";9427,82
"110145 PARECIS";10387,83
"110146 PIMENTEIRAS DO OESTE";18861,54
"110147 PRIMAVERA DE RONDONIA";9955,73
"110148 SAO FELIPE D'OESTE";9752,23
"110149 SAO FRANCISCO DO GUAPORE";10833,75
"110150 SERINGUEIRAS";10073,24
"110155 TEIXEIROPOLIS";10210,08
"110160 THEOBROMA";9907,83
"110170 URUPA";9361,59
"110175 VALE DO ANARI";9767,39
"110180 VALE DO PARAISO";10855,25
"120001 ACRELANDIA";9744,37
"120005 ASSIS BRASIL";6925,51
"120010 BRASILEIA";8908,93
"120013 BUJARI";10171,69
"120017 CAPIXABA";12314,93
"120020 CRUZEIRO DO SUL";9859,77
"120025 EPITACIOLANDIA";9608,36
"120030 FEIJO";6209,88
"120032 JORDAO";6313,27
"120033 MANCIO LIMA";6264,09
"120034 MANOEL URBANO";6991,12
"120035 MARECHAL THAUMATURGO";6756,91
"120038 PLACIDO DE CASTRO";7721,97
"120039 PORTO WALTER";6573,18
"120040 RIO BRANCO";15252,38
"120042 RODRIGUES ALVES";8657,55
"120043 SANTA ROSA DO PURUS";7775,74
"120045 SENADOR GUIOMARD";9180,38
"120050 SENA MADUREIRA";6970,89
"120060 TARAUACA";6426,73
"120070 XAPURI";7336,18
"120080 PORTO ACRE";7747,18
"130002 ALVARAES";4144,14
"130006 AMATURA";3815,53
"130008 ANAMA";5074,55
"130010 ANORI";3940,46
"130014 APUI";5831,57
"130020 ATALAIA DO NORTE";4529,66
"130030 AUTAZES";4854,07
"130040 BARCELOS";3643,06
"130050 BARREIRINHA";4300,78
"130060 BENJAMIN CONSTANT";4099,93
"130063 BERURI";4755,04
"130068 BOA VISTA DO RAMOS";3685,07
"130070 BOCA DO ACRE";5008,78
"130080 BORBA";4526,16
"130083 CAAPIRANGA";6113,94
"130090 CANUTAMA";3869,02
"130100 CARAUARI";5025,85
"130110 CAREIRO";4427,96
"130115 CAREIRO DA VARZEA";7831,59
"130120 COARI";26323,73
"130130 CODAJAS";5200,55
"130140 EIRUNEPE";4926,43
"130150 ENVIRA";4373,16
"130160 FONTE BOA";4212,64
"130165 GUAJARA";3659,77
"130170 HUMAITA";4902,70
"130180 IPIXUNA";3129,35
"130185 IRANDUBA";7471,49
